ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000950123-25-005118	196125		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005118	196124		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0000950123-25-005118	196123		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005118	196122		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005118	196121		028-00143			RiverSource Life Insurance Co
0000950123-25-005118	196120		028-00140			Ameriprise Certificate Co
0000950123-25-005118	196119		028-10458			Ameriprise Trust Co
0000950123-25-005118	196117		028-00139			Ameriprise Financial, Inc
0000950123-25-005118	196118		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005117	197179		028-10849			Thames River Capital LLP
0000950123-25-005117	197178		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005117	197177		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005117	197176		028-18942			Ameriprise Bank, FSB
0000950123-25-005117	197175		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005117	197174		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
0000950123-25-005117	197180		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005117	197172		028-10460			RiverSource Life Insurance Co of New York
0000950123-25-005117	197171		028-00143			RiverSource Life Insurance Co
0000950123-25-005117	197170		028-00140			Ameriprise Certificate Co
0000950123-25-005117	197169		028-10458			Ameriprise Trust Co
0000950123-25-005117	197168		028-10477	000108257	801-25943	Columbia Management Investment Advisers, LLC
0000950123-25-005117	197167		028-00139			Ameriprise Financial, Inc
0000950123-25-005117	197173		028-10644			Threadneedle Asset Management Holdings LTD
0000950123-25-005116	196734		028-12261			Columbia Threadneedle (EM) Investments Ltd
0000950123-25-005116	196733		028-10849			Thames River Capital LLP
0000950123-25-005116	196732		028-10846			Columbia Threadneedle Management Ltd
0000950123-25-005116	196731		028-17429	000105646	801-34270	Pyrford International Ltd
0000950123-25-005116	196730		028-18942			Ameriprise Bank, FSB
0000950123-25-005116	196729		028-03639	000111168	801-41391	Columbia Wanger Asset Management, LLC.
0000950123-25-005116	196728		028-14918	000006363	801-28543	Ameriprise Financial Services, LLC
